Number,Question,Answer1,Answer2,DOI,Year,Author,Comments
11,What is error if one found?,NA,,10.1155/2011/870853,2011,Seignobosc,
12,What metric used for fecundity?,total number new offspring/total number breeding females,,10.1155/2011/870853,2011,Seignobosc,
13,Sample size,81,number of individuals,10.1155/2011/870853,2011,Seignobosc,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1155/2015/987060,2015,Sabat,
2,Organism,alcyonacea,sea fan,10.1155/2015/987060,2015,Sabat,
3,Do they model an observation process for survival?,no,direct estimate on 92 individuals in one year,10.1155/2015/987060,2015,Sabat,
4,Do they model an observation process for fecundity?,no,direct calculation,10.1155/2015/987060,2015,Sabat,
5,Was uncertainty reported?,no,,10.1155/2015/987060,2015,Sabat,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1155/2015/987060,2015,Sabat,
7,Was lambda estimated from matrix? If yes what conclusion,yes,for disease incidence < 0.12 population increases but after that it declines,10.1155/2015/987060,2015,Sabat,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survivorship has strongest effect on lambda,10.1155/2015/987060,2015,Sabat,
9,Pre or post breeding census,birth flow,,10.1155/2015/987060,2015,Sabat,
10,Life cycle correctly estimated?,yes,should maybe have used IPM as size based,10.1155/2015/987060,2015,Sabat,
11,What is error if one found?,NA,,10.1155/2015/987060,2015,Sabat,
12,What metric used for fecundity?,new gorgonians as a function of adult abundance,,10.1155/2015/987060,2015,Sabat,
13,Sample size,92,individuals used in survival estimate,10.1155/2015/987060,2015,Sabat,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,looked at transient dynamics
2,Organism,mammal,black rhino,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
3,Do they model an observation process for survival?,yes,multi-state mark-recapture model,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
4,Do they model an observation process for fecundity?,yes,multi-state mark-recapture model,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
5,Was uncertainty reported?,yes,"consider model structure uncertainty, also uncertainty in lambda with mcmc ci",10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
7,Was lambda estimated from matrix? If yes what conclusion,yes,stable (just) CI cross zero for all cases,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival of adult females = highest elasticity,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
9,Pre or post breeding census,post,,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
10,Life cycle correctly estimated?,yes,,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
11,What is error if one found?,NA,,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
12,What metric used for fecundity?,annual probabilty of transition from female to mother with neonate,same as est of transition from adult female to mother,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
13,Sample size,5000,individual sightings by 2005,10.1111/j.1469-1795.2010.00434.x,2010,Brodie,
,,,,,,,
1,Is there an MPM in original paper?,yes,but part of metapopulation analysis RAMAS,10.1111/j.1600-0587.2010.06263.x,2011,Minin,RAMAS package
2,Organism,amphibian,natterjack toad,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
3,Do they model an observation process for survival?,no,assumptions for 1 to 2 year olds and from literature for 3+,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
4,Do they model an observation process for fecundity?,no,assumptions for 1 to 2 year olds and from literature for 3+,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
5,Was uncertainty reported?,yes,just for population size - stochastic simulations with demographic and environmental stochasticity,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
6,"If reported, was the uncertainty complete for all parameters?",yes,standard deviation,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival of 1 year olds was most important for probability of extinction,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
9,Pre or post breeding census,not reported,think pre,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
10,Life cycle correctly estimated?,NA,but think yes,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
11,What is error if one found?,NA,,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
12,What metric used for fecundity?,number of 1 year old toads per female per year,"product of proportion of females breeding each year, mean clutch size, survival to metamorphosis, survival to one year",10.1111/j.1600-0587.2010.06263.x,2011,Minin,
13,Sample size,not reported,,10.1111/j.1600-0587.2010.06263.x,2011,Minin,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1643/CE-14-191,2015,Páez,program MARK
2,Organism,reptile,magdalena river turtle,10.1643/CE-14-191,2015,Páez,
3,Do they model an observation process for survival?,yes,Pradel model/ capture mark recapture,10.1643/CE-14-191,2015,Páez,
4,Do they model an observation process for fecundity?,yes,direct calculation: mean,10.1643/CE-14-191,2015,Páez,
5,Was uncertainty reported?,yes,sampled from distributions of vital rates for projection - mcmc ci in poptools,10.1643/CE-14-191,2015,Páez,
6,"If reported, was the uncertainty complete for all parameters?",no,reproduction,10.1643/CE-14-191,2015,Páez,
7,Was lambda estimated from matrix? If yes what conclusion,yes,declining,10.1643/CE-14-191,2015,Páez,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival of adults and progression transitions were most important,10.1643/CE-14-191,2015,Páez,
9,Pre or post breeding census,post,,10.1643/CE-14-191,2015,Páez,
10,Life cycle correctly estimated?,yes,,10.1643/CE-14-191,2015,Páez,
11,What is error if one found?,NA,,10.1643/CE-14-191,2015,Páez,
12,What metric used for fecundity?,average number of female hatchlings per average reproductive female,includes adult survival,10.1643/CE-14-191,2015,Páez,
13,Sample size,709,total individuals,10.1643/CE-14-191,2015,Páez,
,,,,,,,
1,Is there an MPM in original paper?,yes,part of RAMAS model,10.1017/S0376892917000340,2018,Pickett,
2,Organism,bird,black-faced spoonbill,10.1017/S0376892917000340,2018,Pickett,
3,Do they model an observation process for survival?,no,direct calculation,10.1017/S0376892917000340,2018,Pickett,
4,Do they model an observation process for fecundity?,no,assume 3 eggs per clutch/2,10.1017/S0376892917000340,2018,Pickett,
5,Was uncertainty reported?,yes,bootstrapped lambda using standard deviation of vital rates not always clear where these came from,10.1017/S0376892917000340,2018,Pickett,
6,"If reported, was the uncertainty complete for all parameters?",yes,standard deviation,10.1017/S0376892917000340,2018,Pickett,standard deviations
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1017/S0376892917000340,2018,Pickett,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1017/S0376892917000340,2018,Pickett,
9,Pre or post breeding census,not reported,think post,10.1017/S0376892917000340,2018,Pickett,
10,Life cycle correctly estimated?,can't tell,,10.1017/S0376892917000340,2018,Pickett,
11,What is error if one found?,NA,,10.1017/S0376892917000340,2018,Pickett,
12,What metric used for fecundity?,eggs per clutch/adults,fixed at 1.5,10.1017/S0376892917000340,2018,Pickett,
13,Sample size,not reported,,10.1017/S0376892917000340,2018,Pickett,
,,,,,,,
1,Is there an MPM in original paper?,yes,but part of integrated population model,10.1890/15-0317.1,2016,Bjørkvoll,see Lee et al 2015
2,Organism,mammal,reindeer,10.1890/15-0317.1,2016,Bjørkvoll,
3,Do they model an observation process for survival?,yes,logit-normal model as part of integrated population model,10.1890/15-0317.1,2016,Bjørkvoll,
4,Do they model an observation process for fecundity?,no,logit-normal model as part of integrated population model,10.1890/15-0317.1,2016,Bjørkvoll,state=dead/alive not observed/not
5,Was uncertainty reported?,yes,and propagated,10.1890/15-0317.1,2016,Bjørkvoll,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1890/15-0317.1,2016,Bjørkvoll,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1890/15-0317.1,2016,Bjørkvoll,nice example of how to combine uncertainty and elasticity
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,"survival of calves, yearlings, and two year olds most important",10.1890/15-0317.1,2016,Bjørkvoll,
9,Pre or post breeding census,post,,10.1890/15-0317.1,2016,Bjørkvoll,
10,Life cycle correctly estimated?,can't tell,,10.1890/15-0317.1,2016,Bjørkvoll,
11,What is error if one found?,NA,,10.1890/15-0317.1,2016,Bjørkvoll,
12,What metric used for fecundity?,can't tell,,10.1890/15-0317.1,2016,Bjørkvoll,
13,Sample size,512,individuals in CMR model,10.1890/15-0317.1,2016,Bjørkvoll,
,,,,,,,
1,Is there an MPM in original paper?,yes,metapopulation MPM,10.1890/11-0488.1,2011,Carson,
2,Organism,bivalve,mytilid mussel,10.1890/11-0488.1,2011,Carson,
3,Do they model an observation process for survival?,no,estimated from mark-recapture and tuffie removal experiments,10.1890/11-0488.1,2011,Carson,
4,Do they model an observation process for fecundity?,no,mean recruits/m2 divided by mean adults/m2,10.1890/11-0488.1,2011,Carson,
5,Was uncertainty reported?,yes,bootstrapped elasticity using life stage simulation analysis,10.1890/11-0488.1,2011,Carson,
6,"If reported, was the uncertainty complete for all parameters?",no,mismatch between matrices in Appendix A and uncertainty,10.1890/11-0488.1,2011,Carson,
7,Was lambda estimated from matrix? If yes what conclusion,yes,lambda altered by metapopulation connectivity,10.1890/11-0488.1,2011,Carson,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,highest importance was fecundity in fall season,10.1890/11-0488.1,2011,Carson,
9,Pre or post breeding census,birth flow,,10.1890/11-0488.1,2011,Carson,
10,Life cycle correctly estimated?,yes,,10.1890/11-0488.1,2011,Carson,
11,What is error if one found?,NA,,10.1890/11-0488.1,2011,Carson,
12,What metric used for fecundity?,number of recruits,times survival of adult to mid point of time step and survival of recruits to end time step,10.1890/11-0488.1,2011,Carson,
13,Sample size,1096,total marked or collected individuals,10.1890/11-0488.1,2011,Carson,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1002/eap.1664,2018,Ali,survival package in R
2,Organism,mammal ,hirola antelope,10.1002/eap.1664,2018,Ali,popbio 
3,Do they model an observation process for survival?,no,survival package R - mean cumulative survival rate,10.1002/eap.1664,2018,Ali,
4,Do they model an observation process for fecundity?,no,popbio direct estimate: proportion of adult females that gave birth,10.1002/eap.1664,2018,Ali,
5,Was uncertainty reported?,yes,standard errors from model averaging,10.1002/eap.1664,2018,Ali,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1002/eap.1664,2018,Ali,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"two populations declining, one stable/just increasing",10.1002/eap.1664,2018,Ali,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,fecundity and calf survival were most important,10.1002/eap.1664,2018,Ali,
9,Pre or post breeding census,post,,10.1002/eap.1664,2018,Ali,
10,Life cycle correctly estimated?,yes,,10.1002/eap.1664,2018,Ali,
11,What is error if one found?,NA,,10.1002/eap.1664,2018,Ali,
12,What metric used for fecundity?,average proportion of adult females that gave birth to a calf each year,"three rates - not measured: probability of pregnancy, probability of birth, calf sex ratio)",10.1002/eap.1664,2018,Ali,
13,Sample size,95,total individuals across 3 settings,10.1002/eap.1664,2018,Ali,
,,,,,,,
1,Is there an MPM in original paper?,yes,within integrated population model,10.1002/ece3.1290,2014,Davis,included covariance between vital rates
2,Organism,bird,Gunnison sage-grouse,10.1002/ece3.1290,2014,Davis,
3,Do they model an observation process for survival?,yes,censoring and known fate type model,10.1002/ece3.1290,2014,Davis,
4,Do they model an observation process for fecundity?,yes,censoring and known fate type model,10.1002/ece3.1290,2014,Davis,
5,Was uncertainty reported?,yes,covariance of vital rates in years without data,10.1002/ece3.1290,2014,Davis,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1002/ece3.1290,2014,Davis,
7,Was lambda estimated from matrix? If yes what conclusion,yes,slight decline,10.1002/ece3.1290,2014,Davis,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1002/ece3.1290,2014,Davis,
9,Pre or post breeding census,pre,,10.1002/ece3.1290,2014,Davis,
10,Life cycle correctly estimated?,yes,,10.1002/ece3.1290,2014,Davis,
11,What is error if one found?,NA,,10.1002/ece3.1290,2014,Davis,
12,What metric used for fecundity?,nest initiation rate times probability of successful nest time average clutch size times juvenile recruitment,,10.1002/ece3.1290,2014,Davis,
13,Sample size,328,"chicks marked from ~135 nests, 217 birds caught for survival",10.1002/ece3.1290,2014,Davis,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1002/ecs2.1666,2016,Hinke,program MARK
2,Organism,bird,adélie penguin,10.1002/ecs2.1666,2016,Hinke,had to correct survival as was bias lower maybe due to band loss
3,Do they model an observation process for survival?,yes,multi-state mark recapture,10.1002/ecs2.1666,2016,Hinke,
4,Do they model an observation process for fecundity?,yes,average and CJS model for breeding propensity adults,10.1002/ecs2.1666,2016,Hinke,
5,Was uncertainty reported?,yes,seem to focus on stochastic uncertainty in future conditions,10.1002/ecs2.1666,2016,Hinke,
6,"If reported, was the uncertainty complete for all parameters?",no,survival,10.1002/ecs2.1666,2016,Hinke,includes sd of yearly estimates but not SE from estimates
7,Was lambda estimated from matrix? If yes what conclusion,no,yearly population change from simulation,10.1002/ecs2.1666,2016,Hinke,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1002/ecs2.1666,2016,Hinke,
9,Pre or post breeding census,post,,10.1002/ecs2.1666,2016,Hinke,
10,Life cycle correctly estimated?,yes,,10.1002/ecs2.1666,2016,Hinke,
11,What is error if one found?,NA,,10.1002/ecs2.1666,2016,Hinke,
12,What metric used for fecundity?,number of chicks crèched ,,10.1002/ecs2.1666,2016,Hinke,
13,Sample size,296,birds that bred multiple times,10.1002/ecs2.1666,2016,Hinke,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,used E-SURGE
2,Organism,mammal,wild boar,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
3,Do they model an observation process for survival?,yes,multi-state capture-recapture model,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
4,Do they model an observation process for fecundity?,no,from literature and expert opinion,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
5,Was uncertainty reported?,yes,standard error for survival,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
6,"If reported, was the uncertainty complete for all parameters?",no,reproduction,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
7,Was lambda estimated from matrix? If yes what conclusion,yes,increasing population,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival of juveniles had highest influence,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
9,Pre or post breeding census,pre,,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
10,Life cycle correctly estimated?,yes,,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
11,What is error if one found?,NA,,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
12,What metric used for fecundity?,mean number of piglets produced per age class,times proportion of breeding females and survival to weaning and survival of considered age class,10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
13,Sample size,1890,"number of juveniles marked, 238 recaptured, 1204 recovered",10.1111/j.1558-5646.2011.01366.x,2011,Gamelon,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/evo.12952,2016,Kvalnes,
2,Organism,mammal,moose,10.1111/evo.12952,2016,Kvalnes,
3,Do they model an observation process for survival?,no,estimated mean,10.1111/evo.12952,2016,Kvalnes,
4,Do they model an observation process for fecundity?,no,estimated mean,10.1111/evo.12952,2016,Kvalnes,
5,Was uncertainty reported?,yes,standard errors,10.1111/evo.12952,2016,Kvalnes,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/evo.12952,2016,Kvalnes,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1111/evo.12952,2016,Kvalnes,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1111/evo.12952,2016,Kvalnes,
9,Pre or post breeding census,pre,,10.1111/evo.12952,2016,Kvalnes,
10,Life cycle correctly estimated?,yes,,10.1111/evo.12952,2016,Kvalnes,
11,What is error if one found?,NA,,10.1111/evo.12952,2016,Kvalnes,
12,What metric used for fecundity?,half number of calves produced in t that were alive at t+1,,10.1111/evo.12952,2016,Kvalnes,
13,Sample size,499,"genotyped individuals, 181 phenotyped juveniles, 468 for survival and recruitment",10.1111/evo.12952,2016,Kvalnes,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1093/plankt/fbv024,2015,Henschke,
2,Organism,zooplankton,thalia democratica,10.1093/plankt/fbv024,2015,Henschke,
3,Do they model an observation process for survival?,no,from literature or best guess,10.1093/plankt/fbv024,2015,Henschke,
4,Do they model an observation process for fecundity?,no,from literature or best guess,10.1093/plankt/fbv024,2015,Henschke,
5,Was uncertainty reported?,no,,10.1093/plankt/fbv024,2015,Henschke,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1093/plankt/fbv024,2015,Henschke,
7,Was lambda estimated from matrix? If yes what conclusion,yes,1.32 a day,10.1093/plankt/fbv024,2015,Henschke,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,juvenile oozoid survival was most important,10.1093/plankt/fbv024,2015,Henschke,
9,Pre or post breeding census,can't tell,daily time step,10.1093/plankt/fbv024,2015,Henschke,
10,Life cycle correctly estimated?,can't tell,,10.1093/plankt/fbv024,2015,Henschke,
11,What is error if one found?,NA,,10.1093/plankt/fbv024,2015,Henschke,
12,What metric used for fecundity?,contribution of stages to female or post-release oozoids,,10.1093/plankt/fbv024,2015,Henschke,
13,Sample size,NA,from literature,10.1093/plankt/fbv024,2015,Henschke,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1371/journal.pone.0094700,2014,Rota,
2,Organism,bird,black-backed woodpecker,10.1371/journal.pone.0094700,2014,Rota,
3,Do they model an observation process for survival?,yes,Bayesian multi-state mark-recapture model,10.1371/journal.pone.0094700,2014,Rota,
4,Do they model an observation process for fecundity?,no,nest survival as Bayesian nest survival model and young fledged as zero-truncated Poisson model,10.1371/journal.pone.0094700,2014,Rota,POISSON RECRUITMENT
5,Was uncertainty reported?,yes,credible intervals survival and recruitment,10.1371/journal.pone.0094700,2014,Rota,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1371/journal.pone.0094700,2014,Rota,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"2 year post wildfire was largely positive growth, but other habitats were largely negative",10.1371/journal.pone.0094700,2014,Rota,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1371/journal.pone.0094700,2014,Rota,
9,Pre or post breeding census,pre,,10.1371/journal.pone.0094700,2014,Rota,
10,Life cycle correctly estimated?,yes,all 'recruits' are already adults,10.1371/journal.pone.0094700,2014,Rota,
11,What is error if one found?,NA,,10.1371/journal.pone.0094700,2014,Rota,
12,What metric used for fecundity?,recruitment,number of chicks fledged from successful next times survival to adult,10.1371/journal.pone.0094700,2014,Rota,
13,Sample size,140,"adult woodpeckers, 95 nests for fledging success",10.1371/journal.pone.0094700,2014,Rota,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1371/journal.pone.0034379,2012,Hostetler,
2,Organism,mammal,ground-dwelling squirrel,10.1371/journal.pone.0034379,2012,Hostetler,
3,Do they model an observation process for survival?,no,not sure but maybe direct calculation,10.1371/journal.pone.0034379,2012,Hostetler,
4,Do they model an observation process for fecundity?,no,not sure but maybe direct calculation,10.1371/journal.pone.0034379,2012,Hostetler,
5,Was uncertainty reported?,yes,standard errors,10.1371/journal.pone.0034379,2012,Hostetler,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1371/journal.pone.0034379,2012,Hostetler,
7,Was lambda estimated from matrix? If yes what conclusion,yes,population decline but confidence interval spans 0 (0.95 ± SE 0.05). Below replacement 9/18 years,10.1371/journal.pone.0034379,2012,Hostetler,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,"matrix entry elasticity = most influenctial are juvenile survival then 2 yr old females, lower level elasticity = adult female survival then survival of juveniles and litter size were most important. LTRE = adult female survival, juvenile survival, litter size",10.1371/journal.pone.0034379,2012,Hostetler,
9,Pre or post breeding census,post,,10.1371/journal.pone.0034379,2012,Hostetler,
10,Life cycle correctly estimated?,yes,,10.1371/journal.pone.0034379,2012,Hostetler,
11,What is error if one found?,NA,,10.1371/journal.pone.0034379,2012,Hostetler,
12,What metric used for fecundity?,litter size,then multiplied by mother survival and breeding probability,10.1371/journal.pone.0034379,2012,Hostetler,
13,Sample size,831,total captured,10.1371/journal.pone.0034379,2012,Hostetler,
,,,,,,,
1,Is there an MPM in original paper?,yes,part of meta-population model in RAMAS,10.1111/gcb.12289,2013,Fordham,RAMAS
2,Organism,gastropoda ,blacklip and greenlip abalone,10.1111/gcb.12289,2013,Fordham,has cryptic juvenile classes
3,Do they model an observation process for survival?,no,from literature,10.1111/gcb.12289,2013,Fordham,part of a bigger model so no specific uncertainties
4,Do they model an observation process for fecundity?,no,from literature,10.1111/gcb.12289,2013,Fordham,
5,Was uncertainty reported?,yes,"propagated with Latin hypercube sampling, ±10% for each vital rate",10.1111/gcb.12289,2013,Fordham,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/gcb.12289,2013,Fordham,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1111/gcb.12289,2013,Fordham,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,no specific results as not focus of study,10.1111/gcb.12289,2013,Fordham,
9,Pre or post breeding census,pre,,10.1111/gcb.12289,2013,Fordham,
10,Life cycle correctly estimated?,yes,,10.1111/gcb.12289,2013,Fordham,
11,What is error if one found?,NA,size based so should maybe be IPM,10.1111/gcb.12289,2013,Fordham,
12,What metric used for fecundity?,can't tell,not clear what size this is or how it is calculated,10.1111/gcb.12289,2013,Fordham,
13,Sample size,NA,from literature,10.1111/gcb.12289,2013,Fordham,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/gcb.13014,2015,Riegl,
2,Organism,scleractinia,"Acorpora downingi, Porites harrisoni, Dipsastrea pallida, Cyphastrea micropthalma",10.1111/gcb.13014,2015,Riegl,
3,Do they model an observation process for survival?,no,Wood's method solved directly,10.1111/gcb.13014,2015,Riegl,
4,Do they model an observation process for fecundity?,no,based on literature from other places,10.1111/gcb.13014,2015,Riegl,
5,Was uncertainty reported?,no,,10.1111/gcb.13014,2015,Riegl,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1111/gcb.13014,2015,Riegl,
7,Was lambda estimated from matrix? If yes what conclusion,yes,all less than 1,10.1111/gcb.13014,2015,Riegl,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,"species specific- Acropora downingi most important were SC1 and 2, Porites harrisoni sensitivity was SC1 and elasticity was SC1, SC2 and SC3, Dipsastrea pallida was SC1 and 2 for both, Platygyra daedalea was smallest SC, Cyphastrea microphthalma sensitivity declined from smallest to largest size and elasticity was highest for strong strinkage/growth",10.1111/gcb.13014,2015,Riegl,
9,Pre or post breeding census,can't tell,,10.1111/gcb.13014,2015,Riegl,
10,Life cycle correctly estimated?,can't tell,,10.1111/gcb.13014,2015,Riegl,
11,What is error if one found?,NA,,10.1111/gcb.13014,2015,Riegl,
12,What metric used for fecundity?,polyps per mesenteries per cm2 times number of oocytes per polyp per mesentery times projected surface area of colony,expresssed as summed oocyte output of 100 colonies portioned into fecund size classes,10.1111/gcb.13014,2015,Riegl,couldn't get enough measures of recruits (< 2cm diameter)
13,Sample size,can't tell,only reported number of transects - 40 per year,10.1111/gcb.13014,2015,Riegl,
,,,,,,,
1,Is there an MPM in original paper?,thesis not peer reviewed,,,2013,Watsa,
2,Organism,thesis not peer reviewed,,,2013,Watsa,
3,Do they model an observation process for survival?,thesis not peer reviewed,,,2013,Watsa,
4,Do they model an observation process for fecundity?,thesis not peer reviewed,,,2013,Watsa,
5,Was uncertainty reported?,thesis not peer reviewed,,,2013,Watsa,
6,"If reported, was the uncertainty complete for all parameters?",thesis not peer reviewed,,,2013,Watsa,
7,Was lambda estimated from matrix? If yes what conclusion,thesis not peer reviewed,,,2013,Watsa,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,thesis not peer reviewed,,,2013,Watsa,
9,Pre or post breeding census,thesis not peer reviewed,,,2013,Watsa,
10,Life cycle correctly estimated?,thesis not peer reviewed,,,2013,Watsa,
11,What is error if one found?,thesis not peer reviewed,,,2013,Watsa,
12,What metric used for fecundity?,thesis not peer reviewed,,,2013,Watsa,
13,Sample size,thesis not peer reviewed,,,2013,Watsa,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
2,Organism,reptile,Sceloporus grammicus,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
3,Do they model an observation process for survival?,yes,multi-state capture-recapture model in MARK,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
4,Do they model an observation process for fecundity?,no,estimated from captured individuals kept in captivity,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
5,Was uncertainty reported?,yes,standard error for survival and transitions,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"2/8 populations decreasing, 1/8 increasing, 5/8 not clear direction",10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,large variation by population but most important was survival for juveniles and fecundity and survival of small adults,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
9,Pre or post breeding census,not reported,,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
10,Life cycle correctly estimated?,not reported,,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
11,What is error if one found?,NA,size based so maybe should be IPM,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
12,What metric used for fecundity?,mean litter size,mean number of juveniles produced by average reproductive female,10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
13,Sample size,1631,"total caught, recapture is lower",10.1655/HERPETOLOGICA-D-12-00038R2,2013,Pérez-Mendoza,
,,,,,,,
1,Is there an MPM in original paper?,yes,integrated population model,10.1111/ibi.12125,2014,Altwegg,
2,Organism,bird,peregrine falcon,10.1111/ibi.12125,2014,Altwegg,
3,Do they model an observation process for survival?,yes,multi-state mark recapture model,10.1111/ibi.12125,2014,Altwegg,Poisson model of count does not attempt to correct for count error but does allow for extra variability introduced by it
4,Do they model an observation process for fecundity?,no,Poisson model,10.1111/ibi.12125,2014,Altwegg,
5,Was uncertainty reported?,yes,credible intervals,10.1111/ibi.12125,2014,Altwegg,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/ibi.12125,2014,Altwegg,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1111/ibi.12125,2014,Altwegg,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1111/ibi.12125,2014,Altwegg,
9,Pre or post breeding census,post,,10.1111/ibi.12125,2014,Altwegg,
10,Life cycle correctly estimated?,yes,,10.1111/ibi.12125,2014,Altwegg,
11,What is error if one found?,NA,,10.1111/ibi.12125,2014,Altwegg,
12,What metric used for fecundity?,number of fledglings per breeding pair,,10.1111/ibi.12125,2014,Altwegg,
